,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Product category,Year,Notification type,Risk,Notified by,Action taken,Distribution status,Risk decision,Country of origin
,,,,,meat and meat products (other than poultry),5/8/1999,information,,Norway,import not authorised,,undecided,Botswana
,,,,,meat and meat products (other than poultry),24/8/1999,information,,Norway,import not authorised,,undecided,Botswana
,,,,,meat and meat products (other than poultry),24/9/1999,information,,Norway,import not authorised,,undecided,Botswana
,,,,,meat and meat products (other than poultry),11/6/2001,information,,Norway,import not authorised,,undecided,Botswana
,,,,,meat and meat products (other than poultry),21/6/2001,information,,Norway,import not authorised,,undecided,Botswana
,,,,,meat and meat products (other than poultry),21/6/2001,information,,Norway,import not authorised,,undecided,Botswana
,,,,,meat and meat products (other than poultry),27/7/2001,information,,Norway,import not authorised,,undecided,Botswana
,,,,,meat and meat products (other than poultry),31/1/2002,information,,Norway,import not authorised,,undecided,Botswana
,,,,,meat and meat products (other than poultry),13/3/2002,information,,Norway,import not authorised,,undecided,Botswana
,,,,,meat and meat products (other than poultry),16/9/2002,information,,Norway,import not authorised,,undecided,Botswana
,,,,,meat and meat products (other than poultry),5/3/2003,information,,Norway,import not authorised,,undecided,Botswana
,,,,,meat and meat products (other than poultry),14/8/2003,information,border control - consignment detained,Norway,re-dispatch,,undecided,Botswana
,,,,,meat and meat products (other than poultry),19/12/2003,information,border control - consignment detained,Norway,destruction,,undecided,Botswana
,,,,,meat and meat products (other than poultry),19/1/2004,information,border control - consignment detained,Norway,destruction,,undecided,Botswana
,,,,,meat and meat products (other than poultry),13/10/2004,information,official control on the market,Norway,return to consignor,distribution restricted to notifying country,undecided,Botswana
,,,,,meat and meat products (other than poultry),14/10/2004,information,official control on the market,Norway,return to consignor,distribution restricted to notifying country,undecided,Botswana
,,,,,meat and meat products (other than poultry),18/10/2004,information,border control - consignment detained,Norway,re-dispatch,no distribution,undecided,Botswana
,,,,,meat and meat products (other than poultry),4/11/2004,information,official control on the market,Norway,re-dispatch,distribution restricted to notifying country,undecided,Botswana
,,,,,meat and meat products (other than poultry),8/11/2004,information,official control on the market,Norway,prohibition to trade - sales ban,distribution restricted to notifying country,undecided,Botswana
,,,,,meat and meat products (other than poultry),9/11/2004,alert,official control on the market,Norway,re-dispatch,distribution on the market (possible),undecided,Botswana
,,,,,meat and meat products (other than poultry),15/11/2004,information,official control on the market,Norway,destruction,distribution restricted to notifying country,undecided,Botswana
,,,,,meat and meat products (other than poultry),16/11/2004,information,official control on the market,Norway,re-dispatch,distribution restricted to notifying country,undecided,Botswana
,,,,,meat and meat products (other than poultry),16/11/2004,information,official control on the market,Norway,re-dispatch,no distribution,undecided,Botswana
,,,,,meat and meat products (other than poultry),3/12/2004,alert,official control on the market,Norway,product recall or withdrawal,distribution on the market (possible),undecided,Botswana
,,,,,meat and meat products (other than poultry),20/12/2004,information,official control on the market,Norway,prohibition to trade - sales ban,distribution restricted to notifying country,undecided,Botswana
,,,,,meat and meat products (other than poultry),12/12/2005,alert,official control on the market,Norway,product recall or withdrawal,distribution on the market (possible),undecided,Botswana
,,,,,meat and meat products (other than poultry),23/12/2005,information,official control on the market,Norway,prohibition to trade - sales ban,no distribution,undecided,Botswana
,,,,,"nuts, nut products and seeds",14/7/2005,information,border control - consignment released,Germany,return to consignor,no distribution,undecided,Burkina Faso
,,,,,"nuts, nut products and seeds",5/3/2008,alert,official control on the market,United Kingdom,recall from consumers,distribution on the market (possible),undecided,Burkina Faso
,,,,,"nuts, nut products and seeds",30/3/2012,border rejection,border control - consignment detained,Italy,re-dispatch,no distribution,undecided,Burkina Faso
